name,networth,education
Albert E. Austin,,Thomas Jefferson University
"Albert E. Jenner, Jr.",,University of Illinois at Urbana–Champaign
Albert E. Pillsbury,,Lawrence Academy at Groton
Albert Edward Litherland,,University of Liverpool
Albert Edward McPhillips,,Manitoba College
Albert Egges van Giffen,,University of Groningen
Albert Ehrhardt,,University of Oxford
Albert Einstein,,University of Zurich
Albert Erives,,University of California Berkeley
Albert Ernest Kitson,,RMIT University
Albert Ernest Radford,,Furman University
Albert Eschenmoser,,ETH Zurich
"Albert Estopinal, Jr.",,Tulane University Law School
Albert F. Polk,,University of Delaware
Albert Fert,,École normale supérieure
Albert Francis Blakeslee,,Harvard University
Albert Francis Zahm,,Cornell University
Albert Freeman Africanus King,,Doctor of Medicine
Albert G. Brown,,Mississippi College
Albert G. Lauber,,Clare College Cambridge
Albert Galiton Watkins,,College
Albert Gjedde,,University of Copenhagen
Albert Goldstein,,University of Zagreb
Albert Gould,,University of Sydney
Albert Grajales,,Interamerican University of Puerto Rico
"Albert Grey, 4th Earl Grey",,Trinity College Cambridge
Albert Grossman,,Roosevelt University
Albert Göring,,Technische Universität München
Albert H. Bosch,,St. John's University School of Law
Albert H. Roberts,,Hiwassee College
Albert Hale,,University of New Mexico
Albert Hazen Wright,,Cornell University
Albert Herren,,Bristol Community College
Albert Ho,,University of Hong Kong
Albert Hofmann,,University of Zurich
Albert Hofstede,,University of St. Thomas (Minnesota)
Albert Hourani,,Magdalen College Oxford
Albert Howard,,University of Cambridge
Albert Hudson,,University of Manitoba
Albert Huffstickler,,University of North Carolina at Chapel Hill
Albert Huffstickler,,Texas State University
Albert Ingham,,Trinity College Cambridge
Albert Isola,,Kingston University
Albert J. Beveridge,,DePauw University
Albert J. Neri,,Temple University
Albert J. Pearson,,National Normal University
Albert J. Ruffo,,Santa Clara University School of Law
Albert J. Simone,,Tufts University
Albert Jacquard,,École Polytechnique
Albert Jay Nock,,Bard College
Albert Jenks,,University of Wisconsin–Madison
Albert Kapikian,,Cornell University
Albert Kewene,,University of Otago
Albert L. Holladay,,Union Presbyterian Seminary
Albert L. Rendlen,,University of Michigan
"Albert L. Smith, Jr.",,Auburn University
Albert Lai,,Wah Yan College Kowloon
Albert Lee Giddens,,University of Texas at Austin
Albert Luce,,Northwestern University
Albert Marcet,,University of Minnesota
Albert Masland,,Pennsylvania State University - Dickinson Law
Albert Mayer ,,Massachusetts Institute of Technology
Albert Montefiore Hyamson,,Bishop Gore School
Albert Moore Barrett,,University of Iowa
Albert Napier,,New College Oxford
Albert Ndele,,Université catholique de Louvain
Albert Neuberger,,University of Würzburg
Albert Niemann ,,University of Göttingen
Albert Nijenhuis,,University of Amsterdam
Albert O. Hirschman,,University of Trieste
Albert Ogilvie,,University of Tasmania
Albert Owen,,University of York
Albert P. Crary,,St. Lawrence University
Albert Palmer ,,Phillips Exeter Academy
"Albert Parker, 3rd Earl of Morley",,Balliol College Oxford
Albert Pattengill,,University of Michigan
Albert Paul Weiss,,University of Missouri
Albert Payson Terhune,,Columbia University
Albert Pechan,,University of Pittsburgh School of Dental Medicine
Albert Pintat,,University of Fribourg
Albert Poggio,,London Guildhall University
Albert Potter Wills,,Clark University
Albert R. Meyer,,Harvard University
Albert R. Taylor,,Lincoln College (Illinois)
Albert Rhys Williams,,Hartford Seminary
Albert Rivera,,ESADE
Albert Robinson ,,University of the Cumberlands
Albert Ruskin Cook,,St Bartholomew's Hospital
Albert S. Berry,,University of Cincinnati College of Law
Albert S. Humphrey,,Harvard University
Albert S. Willis,,University of Louisville School of Law
Albert Sabin,,New York University
Albert Saijo,,University of Southern California
Albert Salmi,,Haaren High School
Albert Schatz ,,Rutgers University
Albert Schram,,European University Institute
Albert Shiryaev,,Moscow State University
Albert Siu,,David Geffen School of Medicine at UCLA
Albert Smith White,,Union College
Albert Soboul,,University of Paris
Albert Sommers,,University of Wyoming
Albert Spaulding,,Master of Arts
Albert Speer,,Karlsruhe Institute of Technology
"Albert Spradling, Jr.",,University of Missouri
Albert Sylla,,Antananarivo
Albert Szent-Györgyi,,Doctor of Philosophy
Albert T. Church,,United States Naval Academy
Albert T. Corbett,,University of Oregon
Albert Tafel,,University of Tübingen
"Albert Tate, Jr.",,New York Military Academy
Albert Taylor Bledsoe,,Kenyon College
Albert Toft,,Royal College of Art
Albert Turner Bharucha-Reid,,University of Chicago
Albert W. Johnson,,Stetson University
Albert W. Tucker,,University of Toronto
Albert Walsh,,Dalhousie University
Albert Watson ,,North Greenville University
Albert Wattenberg,,City College of New York
Albert Wesley Johnson,,Harvard University
Albert Whiggs Easmon,,University of Edinburgh
Albert Whitford,,University of Wisconsin–Madison
Albert William Herre,,Stanford University
Albert Wohlstetter,,City College of New York
Albert Wojciech Adamkiewicz,,University of Wrocław
Albert Wynn,,University of Pittsburgh
Albert Zafy,,University of Montpellier
Albert de Silva,,Galle Electoral District (1947–1989)
Albert de la Chapelle,,University of Helsinki
Albert del Rosario,,New York University
Albert van der Sandt Centlivres,,South African College
Alberta Williams King,,Hampton University
"Albertis S. Harrison, Jr.",,University of Virginia School of Law
Alberto Alemanno,,Harvard Law School
Alberto Alesina,,Harvard University
Alberto Bacó Bagué,,University of Puerto Rico
Alberto Barton,,National University of San Marcos
Alberto Begné Guerra,,Instituto_Ortega_y_Gasset
Alberto Bressan,,University of Padua
Alberto Calderón,,University of Buenos Aires
Alberto Carrasquilla Barrera,,Doctor of Philosophy
Alberto Clò,,University of Bologna
Alberto Conti,,Ohio State University
Alberto Costa ,,University of Glasgow
Alberto Demicheli,,University of the Republic (Uruguay)
Alberto Fabra,,Polytechnic University of Valencia
Alberto Fernández,,University of Buenos Aires
Alberto Forchielli,,Harvard University
Alberto Fujimori,,National Agrarian University
Alberto Garzón,,University of Málaga
Alberto Gonzales,,Harvard Law School
Alberto Ibargüen,,Wesleyan University
Alberto Inocente Álvarez,,University of Havana
Alberto Jover Piamonte,,St. Vincent Ferrer Seminary
Alberto João Jardim,,University of Coimbra
Alberto M. Carvalho,,Miami-Dade County Public Schools
Alberto Madruga da Costa,,University of Coimbra
Alberto María Fonrouge,,University of Buenos Aires
Alberto Núñez Feijóo,,University of Santiago de Compostela
Alberto O. Mendelzon,,Princeton University
Alberto Prebisch,,University of Buenos Aires
Alberto Rodrigues,,St. Joseph's College (Hong Kong)
Alberto Romulo,,Manuel L. Quezon University
Alberto Rosende,,New York University
Alberto Ruiz-Gallardón,,Centro de Estudios Universitarios
Alberto Santofimio,,Del Rosario University
Alberto Sileoni,,National University of General San Martín
Alberto Vallarino Clement,,Cornell University
Alberto van Klaveren,,University of Chile
Albertus Klijn,,Utrecht University
Albie Casiño,,La Salle Green Hills
Albie Sachs,,University of Cape Town
Albin Gurklis,,Marianapolis_College
Albin Kurti,,University of Pristina (1969–99)
Albin Owings Kuhn,,Master of Arts
Albin W. Norblad,,Willamette University College of Law
Albina du Boisrouvray,,University of Paris
Albio Sires,,Middlebury College
Albion A. Perry,,Boston University School of Law
Albion Parris,,Dartmouth College
Albion Rajkumar Banerjee,,University of Calcutta
Albion W. Tourgée,,University of Rochester
Albion Woodbury Small,,Doctor of Philosophy
Albrecht Behmel,,Heidelberg University
Albrecht Dold,,Heidelberg University
Albrecht Fröhlich,,University of Bristol
Albrecht Kossel,,University of Strasbourg
Albrecht Penck,,Leipzig University
Albrecht Schmidt ,,University of Ulm
Albrecht Schröter,,Martin Luther University of Halle-Wittenberg
Albrecht von Graefe,,Humboldt University of Berlin
Alcee Hastings,,Florida A&M University College of Law
Alcherio Martinoli,,ETH Zurich
Alcide De Gasperi,,University of Vienna
Alcino J. Silva,,Rutgers University
Alcira Argumedo,,University of Buenos Aires
Aldemaro Romero Jr.,,University of Miami
Alden Bradford,,Harvard College
Alden Ehrenreich,,New York University
Alden H. Miller,,University of California Los Angeles
Alden W. Clausen,,University of Minnesota Law School
Aldo Andreotti,,University of Pisa
Aldo Bensadoun,1.7E9,McGill University
Aldo Bumçi,,Bilkent University
Aldo Busi,,University of Verona
Aldo Costa,,University of Bologna
Aldo Ferrer,,University of Buenos Aires
Aldo Miccio,,University of Canterbury
Aldo Pontremoli,,Sapienza University of Rome
Aldo Tambellini,,University of Notre Dame
Aldo Tatangelo,,Bryant & Stratton College
Aldons Vrubļevskis,,University of Latvia
Aldous Huxley,,Balliol College Oxford
Aldred Scott Warthin,,University of Michigan Health System
Ale Ahmad Suroor,,Aligarh Muslim University
Ale Resnik,,ORT Argentina
Alec Baldwin,,Tisch School of the Arts
"Alec Broers, Baron Broers",,University of Cambridge
Alec Douglas-Home,,Christ Church Oxford
Alec Erwin,,University of Natal
Alec Garden Fraser,,Merchiston Castle School
Alec Gores,2.1E9,Western Michigan University
Alec Graham,,St John's College Oxford
Alec Jeffreys,,University of Oxford
Alec Lazenby,,University of Cambridge
Alec Marantz,,Oberlin College
Alec Mazo,,Master of Business Administration
Alec Mazo,,University of California Berkeley
Alec McCowen,,The Skinners' School
Alec McCowen,,Royal Academy of Dramatic Art
Alec Ross ,,University of Bologna
Alec Shelbrooke,,Brunel University London
Alec Skempton,,Imperial College London
Alec Stone Sweet,,Paul H. Nitze School of Advanced International Studies
Alecia Webb-Edgington,,Master of Science
Aleem Said Ahmad Basher,,Manuel L. Quezon University
Aleen Leslie,,Ohio State University
Alejandra Lagunes,,Monterrey Institute of Technology and Higher Education
Alejandra del Moral Vela,,Universidad Iberoamericana
Alejandro Atchugarry,,University of the Republic (Uruguay)
Alejandro Chanona,,National Autonomous University of Mexico
Alejandro Char Chaljub,,Universidad del Norte Colombia
Alejandro Cremades,,Universidad_San_Pablo_CEU
Alejandro Daniel Wolff,,University of California Los Angeles
Alejandro García Padilla,,Interamerican University of Puerto Rico School of Law
Alejandro Gaviria Uribe,,Bachelor of Engineering
Alejandro Hernández ,,University of Zulia
Alejandro Jenkins,,Harvard University
Alejandro Mayorkas,,Loyola Law School
Alejandro Mendoza,,Dallas_County_Community_College
Alejandro Monestier,,Czech Technical University in Prague
Alejandro Poiré Romero,,Harvard University
Alejandro Ponce,,Wharton School of the University of Pennsylvania
Alejandro Ponce,,University of the Pacific (Peru)
Alejandro Rebollo Álvarez-Amandi,,University of Oviedo
Alejandro Santo Domingo,4.6E9,Hotchkiss School
Alejandro Santo Domingo,4.6E9,Harvard University
Alejandro Toledo,,University of San Francisco
Alejandro Vanoli,,University of Buenos Aires
Alejandro Végh Villegas,,Harvard University
Alejandro Williams,,Universidad Central del Este
Alejandro Zaffaroni,,University of the Republic (Uruguay)
Alejandro Zambra,,Pontifical Catholic University of Chile
Alejo Avello,,University of Navarra
Alek Skarlatos,,Umpqua Community College
Aleka Papariga,,National and Kapodistrian University of Athens
Aleks Krotoski,,Doctor of Philosophy
Aleks Krotoski,,University of Surrey
Aleksandar Alekov,,Hanze University of Applied Sciences
Aleksandar Bošković,,University of St Andrews
Aleksandar Hemon,,University of Sarajevo
Aleksandar Karakachanov,,Sofia University
Aleksandar Licht,,University of Zagreb
Aleksandar Lilov,,Sofia University
Aleksandar Popović ,,University of Belgrade
Aleksandar Tsankov Staliyski,,Sofia University
Aleksandar Vučić,,Faculty of Law University of Belgrade
Aleksander Burba,,Southern Federal University
Aleksander Jabłoński,,University of Warsaw
Aleksander Kwaśniewski,,University of Gdańsk
Aleksander Rajchman,,University of Warsaw
Aleksander Szczygło,,University of Gdańsk
Aleksander Warma,,University of Tartu
Aleksander Wolszczan,,Nicolaus Copernicus University in Toruń
Aleksandr Arbuzov,,Kazan (Volga region) Federal University
Aleksandr Chudakov,,Moscow State University
Aleksandr Danilovich Aleksandrov,,Saint Petersburg State University
Aleksandr Galushka,,Russian State Social University
Aleksandr Khinchin,,Moscow State University
Aleksandr Korkin,,Saint Petersburg State University
Aleksandr Loran,,Peter the Great St. Petersburg Polytechnic University
Aleksandr Lyapunov,,Saint Petersburg State University
Aleksandr Markevich,,Taras Shevchenko National University of Kyiv
Aleksandr Nadiradze,,Moscow Aviation Institute
Aleksandr Nekrasov,,Moscow State University
Aleksandr Solzhenitsyn,,Southern Federal University
Aleksandr Stoletov,,Moscow State University
Aleksandr Vasiljevich Fomin,,Taras Shevchenko National University of Kyiv
Aleksandr Zolotarev,,Moscow State University
Aleksandra Pakhmutova,,Moscow Conservatory
Aleksandra Smiljanić,,University of Belgrade
Aleksandrs Mirskis,,Kaunas University of Technology
Aleksei Chaly,,Sevastopol National Technical University
Aleksei Chichibabin,,Saint Petersburg State University
Aleksei Fedorovich Filippov,,Moscow State University
Aleksey Lidov,,Moscow State University
Aleksey Pleshcheyev,,Saint Petersburg State University
Aleksey Pushkov,,Moscow State Institute of International Relations
Aleksey Shakhmatov,,Moscow State University
Alemayehu Atomsa,,Ethiopian Civil Service University
Alen simonyan,,Yerevan State University
Alengot Oromait,,Kampala
Alenka Bratušek,,University of Ljubljana
Aleqa Hammond,,Higher Preparatory Examination (HF)
Ales Michalevic,,Belarusian State University
Alesha Dixon,,Monk's Walk School
Alessandra Kersevan,,University of Trieste
Alessandra Moretti,,University of Urbino
Alessandro Bianchi ,,Sapienza University of Rome
Alessandro Faedo,,University of Pisa
Alessandro Gadotti,7.5E7,Sapienza University of Rome
Alessandro Liberati,,University of Milan
Alessandro Malladra,,University of Turin
Alessandro Minelli,,University of Padua
Alessandro Morbidelli ,,Université de Namur
Alessandro Nivola,,Phillips Exeter Academy
Alessandro Pavolini,,Sapienza University of Rome
Alessia Mosca,,Università Cattolica del Sacro Cuore
Alessio Corti,,University of Pisa
Alessio Figalli,,Scuola Normale Superiore di Pisa
Aleta Arthur Trauger,,Vanderbilt University Law School
Alewyn Burger,,University of South Africa
Alex Allan,,University of Cambridge
Alex Anmahian,,Harvard Graduate School of Design
Alex Anthopoulos,,McMaster University
Alex Attwood,,Queen's University Belfast
Alex Au,,Anglo-Chinese School
Alex B. Morse,,Brown University
Alex B. Novikoff,,Columbia University
Alex Bailin,,University of Cambridge
Alex Bateman,,University of Cambridge
Alex Beam,,Phillips Exeter Academy
Alex Beard ,,King's College London
Alex Berenson,,History
Alex Berenson,,Yale University
Alex Blanco,,New York College of Podiatric Medicine
Alex Borstein,,San Francisco State University
Alex Brooker,,Norton Knatchbull School
Alex Campbell ,,Dalhousie University
"Alex Carlile, Baron Carlile of Berriew",,King's College London
Alex Cartana,,University of Westminster
Alex Chalk,,Magdalen College Oxford
Alex Cord,,American Shakespeare Theatre
Alex Cormack,,Lesley University
Alex Cunningham,,Darlington College
Alex Edelstein,,Harvard University
Alex Epstein ,,Bachelor of Arts
Alex Ferns,,University of Cape Town
Alex Flinn,,University of Miami
Alex Furmansky,,Bachelor of Applied Science
Alex Garland,,History of art
Alex Gibney,,UCLA School of Theater Film and Television
Alex Gorsky,,Wharton School of the University of Pennsylvania
Alex Goyette,,Mercer Island High School
Alex Goyette,,California State University Northridge
Alex Grecian,,University of Kansas
Alex Greenwich,,University of New South Wales
Alex Haley,,Elizabeth City State University
Alex Hankey,,Trinity College Cambridge
Alex Hershaft,,Iowa State University
Alex Hickman,,Memorial University of Newfoundland
Alex Himelfarb,,University of Toronto
Alex Hirsch,,California Institute of the Arts
Alex Hughes ,,Westcott House Cambridge
Alex Ifeanyichukwu Ekwueme,,Nigerian Law School
Alex J. Groesbeck,,University of Michigan
Alex J. Tyler,,African Methodist Episcopal University
Alex Jones ,,Aberystwyth University
Alex Jones ,,Washington and Lee University
Alex Jones ,,Tonyrefail_Comprehensive
Alex Kershaw,,University College Oxford
Alex Knopp,,George Washington University Law School
Alex Konanykhin,,Edinburgh Business School
Alex Kozinski,,University of California Los Angeles
Alex Kruz,,Rutgers University
Alex Lacson,,Haggai_Leadership_Institute
Alex Lawther,,Churcher's College
Alex Linder,,Pomona College
Alex Lovell,,Rose Bruford College
Alex Marshall ,,Master of Science
Alex Martins,,Villanova University
Alex Mathew,,Michigan State University College of Human Medicine
Alex McLeod,,University of Texas at Austin
Alex McMillan,,University of North Carolina at Chapel Hill
"Alex McMurtrie, Jr.",,Georgetown University Law Center
Alex Mintz,,Northwestern University
Alex Mitchell ,,St Swithun's School Winchester
Alex Molinaroli,,University of South Carolina
Alex Mooney,,Dartmouth College
Alex Moulton,,Marlborough College
Alex Neil ,,University of Dundee
Alex Onzima,,Makerere University
Alex Otti,,Bachelor of Science
Alex P. Garcia,,East Los Angeles College
Alex Pacheco ,,Ohio University
Alex Padilla,,Massachusetts Institute of Technology
Alex Penelas,,St. Thomas University (Florida)
Alex Pentland,,University of Michigan
Alex Perelson,,High school
Alex Perici Calascione,,University of Malta
Alex Petriashvili,,Tbilisi State University
Alex Polizzi,,University of Oxford
Alex Poots,,City University London
Alex Prud'homme,,Middlebury College
Alex R. Hernandez Jr.,,Calhoun High School (Texas)
Alex Rice,,Dawson College
Alex Ross ,,Harvard University
Alex Rozier,,Missouri School of Journalism
Alex Salmond,,Edinburgh Napier University
Alex Sanders ,,University of South Carolina
Alex Santos ,,Ateneo de Davao University
Alex Sharp,,Bachelor of Fine Arts
Alex Sharp,,Juilliard School
Alex Sheshunoff,,University of Iowa
Alex Shook,,West Virginia University
Alex Sink,,Wake Forest University
Alex Smith ,,Indiana University
Alex Somlyay,,Australian National University
Alex Szalay,,University of Debrecen
Alex Tam,,Tang King Po School
Alex Tettey-Enyo,,Presbyterian Boys' Senior High School
Alex Tizon,,University of Oregon
Alex Torpey,,John Jay College of Criminal Justice
Alex W. Bealer,,Emory University
Alex Wagner,,Brown University
Alex Wan,,Georgia Institute of Technology
Alex Warner,,Campbell University
Alex Waters,,Rochester Institute of Technology
Alex Westerman,,George School
Alex White ,,Trinity College Dublin
Alex White ,,Loyola Marymount University
Alex Wilcox,,University of Vermont
Alex Wilkie,,Bedford College (London)
Alex Williamson,,Tatachilla Lutheran College
Alex Williamson,,Flinders University
Alex Witt,,University of Southern California
Alex Yam,,University of Kent
Alex Zettl,,University of California Los Angeles
Alex Zhavoronkov,,Johns Hopkins University
Alex d'Arbeloff,,Massachusetts Institute of Technology
Alexa Canady,,University of Michigan
Alexa Hampton,,Brown University
Alexa Jones,,Birmingham–Southern College
Alexa Kenin,,Beverly Hills High School
Alexa L. Wesner,,Stanford University
Alexa McDonough,,Dalhousie University
Alexa Suelzer,,Saint Mary-of-the-Woods College
Alexa von Tobel,,Harvard College
Alexander A. Balandin,,Moscow Institute of Physics and Technology
Alexander A. Bogomolets,,Odessa University
Alexander A. Galushkin,,Peoples' Friendship University of Russia
Alexander A. Maximow,,S.M. Kirov Military Medical Academy
Alexander Abalakov,,Novosibirsk State Technical University
Alexander Abrosimov,,N. I. Lobachevsky State University of Nizhny Novgorod
Alexander Agassiz,,Harvard University
Alexander Aitken,,University of Edinburgh
Alexander Akerman,,Reading law
Alexander Alexeyevich Makarov,,National Research Nuclear University MEPhI
Alexander Alfonsovich Grossheim,,Moscow State University
Alexander Amini,,Yorktown High School (New York)
Alexander Animalu,,University of Cambridge
Alexander Ankvab,,Southern Federal University
Alexander Arhangelskii,,Moscow State University
Alexander Arkadyevich Migdal,,Moscow Institute of Physics and Technology
Alexander Armstrong ,,Durham School
Alexander Armstrong ,,Trinity College Cambridge
Alexander Armstrong ,,Scots College (Sydney)
Alexander Arvizu,,Georgetown University
Alexander Arzumanyan,,Yerevan State University
Alexander Asberry,,Hearne_Academy
Alexander Asseily,,Stanford University
Alexander Asum-Ahensah,,University of Cape Coast
Alexander Bachmanov,,Pavlov_Institute_of_Physiology
Alexander Bakulev,,Saratov State University
Alexander Balankin,,National Research Nuclear University MEPhI
Alexander Barrow,,United States Military Academy
Alexander Benard,,Claremont McKenna College
Alexander Bickel,,Harvard Law School
Alexander Boarman,,University of Kentucky
Alexander Bogdanov,,National University of Kharkiv
Alexander Boichuk,,Taras Shevchenko National University of Kyiv
Alexander Bolonkin,,Leningrad_Polytechnic_University
Alexander Borodai,,Moscow State University
Alexander Boxwell,,Ohio Wesleyan University
"Alexander Bruce, 6th Lord Balfour of Burleigh",,Oriel College Oxford
Alexander Brudno,,Moscow State University
Alexander Bryson,,University of Edinburgh
Alexander Buchanan,,University of Melbourne
Alexander Buchstab,,Moscow State University
Alexander Bulgakov ,,Secondary education
Alexander Butlerov,,Kazan (Volga region) Federal University
Alexander Butterfield,,University of Maryland College Park
Alexander C. Feldman,,University of Pennsylvania
Alexander C. Irvine,,University of Denver
Alexander Cameron Rutherford,,McGill University
Alexander Cannon ,,University of Hong Kong
Alexander Carlyle,,University of Edinburgh
Alexander Carr-Saunders,,Magdalen College Oxford
Alexander Carson ,,Concordia University
Alexander Charles Garrett,,Trinity College Dublin
Alexander Charles O'Sullivan,,Trinity College Dublin
Alexander Chikwanda,,Lund University
Alexander Chinnery-Haldane,,King Edward VI School Bury St Edmunds
Alexander Christakis,,Yale University
Alexander Christie ,,Grand Séminaire de Montréal
Alexander Cools,,Radboud University Nijmegen
Alexander Cornell du Houx,,Bowdoin College
Alexander Crombie Humphreys,,Stevens Institute of Technology
Alexander Crummell,,Queens' College Cambridge
Alexander D. Shimkin,,Indiana University Bloomington
Alexander D. Sims,,Union College
Alexander Daas,,University of California Santa Barbara
Alexander David Stewart,,University of Edinburgh
Alexander Davis,,Emory and Henry College
Alexander Davydov,,Moscow State University
Alexander De Croo,,Kellogg School of Management
Alexander Dianin,,Doctor of Medicine
Alexander Dobrindt,,Ludwig Maximilian University of Munich
Alexander Dounce,,Cornell University
Alexander Downer,,Newcastle University
Alexander Ellis III,,Milton Academy
Alexander Esenin-Volpin,,Moscow State University
Alexander F. Mathews,,University of Virginia
"Alexander Fleck, 1st Baron Fleck",,University of Glasgow
Alexander Fleming,,St Mary's Hospital Medical School
Alexander Francis Molamure,,S. Thomas' College Mount Lavinia
Alexander Frater,,Scotch College Melbourne
Alexander Frater,,University of Melbourne
Alexander G. Crockett,,Vanderbilt University School of Medicine
Alexander Garvin,,Yale School of Architecture
Alexander Gelfond,,Moscow State University
Alexander Gelman,,Birmingham–Southern College
Alexander George McAdie,,Harvard University
Alexander Gerschenkron,,University of Vienna
Alexander Gill the Elder,,Corpus Christi College Oxford
Alexander Givental,,Gubkin Russian State University of Oil and Gas
Alexander Gode,,Columbia University
Alexander Goldstein,,Gnessin State Musical College
Alexander Gonzalez,,Harvard Law School
Alexander Gordon Laing,,University of Edinburgh
Alexander Graf Lambsdorff,,Georgetown University
Alexander Grantham,,Royal College of Defence Studies
Alexander Griboyedov,,Moscow State University
Alexander Gunn ,,Royal College of Surgeons
Alexander H. Flax,,New York University
"Alexander H. Rice, Jr.",,Harvard University
Alexander H. Smith,,University of Michigan
Alexander H. Stephens,,University of Georgia
Alexander Haig,,Georgetown University
Alexander Haim Pekelis,,University of Florence
Alexander Halavais,,University of California Irvine
Alexander Hamilton,,Columbia College Columbia University
Alexander Holevo,,Moscow Institute of Physics and Technology
"Alexander Hood, 4th Viscount Bridport",,Eton College
Alexander Hrennikoff,,Moscow State University of Railway Engineering
Alexander Hugh Holmes Stuart,,College of William & Mary
Alexander I. Poltorak,,Kuban State University
Alexander Javakhishvili,,Moscow State University
Alexander John Ellis,,Shrewsbury School
Alexander Karasyov,,Kuban State University
Alexander Kazhdan,,Moscow State University
Alexander Kemurdzhian,,Bauman Moscow State Technical University
Alexander Kennedy,,Royal School of Mines
Alexander Khloponin,,Financial University under the Government of the Russian Federation
Alexander King Sample,,Pontifical University of Saint Thomas Aquinas
Alexander Klibanov ,,USSR Academy of Medical Sciences
Alexander Knaster,2.2E9,Harvard Business School
Alexander Kordyuk,,Moscow Institute of Physics and Technology
Alexander Kotsubinsky,,Saint Petersburg State Pediatric Medical University
Alexander Kovalevsky,,Heidelberg University
Alexander Kovarski,,D. Mendeleev University of Chemical Technology of Russia
Alexander Kronrod,,Moscow State University
Alexander Kuzemsky,,Moscow State University
Alexander Kvitashvili,,New York University
Alexander L. George,,University of Chicago
Alexander L. Wolf,,Stuyvesant High School
Alexander Langmuir,,Harvard University
Alexander Laufer,,University of Texas at Austin
Alexander Laurence,,California State University Long Beach
Alexander Lavut,,Moscow State University
Alexander Leaf,,University of Washington
Alexander Levitzki,,Hebrew University of Jerusalem
Alexander Liberman,,École Spéciale d'Architecture
Alexander Lloyd ,,Wharton School of the University of Pennsylvania
Alexander Lowen,,City College of New York
Alexander Lubotzky,,Bar-Ilan University
Alexander Ludwig,,University of Southern California
Alexander Luria,,Kazan (Volga region) Federal University
Alexander M. Cutler,,Yale University
Alexander MacAra,,London School of Hygiene & Tropical Medicine
Alexander MacEwen,,University of Edinburgh
Alexander Macfarlane,,University of Edinburgh
Alexander Mamut,2.4E9,Moscow State University
Alexander Markovich Polyakov,,Moscow Institute of Physics and Technology
Alexander Marlow,,University of California Berkeley
Alexander Maslyakov,,Moscow State University of Railway Engineering
Alexander Matturri,,Rutgers School of Law–Newark
Alexander McAulay,,University of Cambridge
Alexander McCormick Sturm,,Yale University
Alexander McDonnell ,,Trinity College Dublin
Alexander McNutt ,,Washington and Lee University
Alexander Melville Bell,,University of Edinburgh
Alexander Merkurjev,,Saint Petersburg State University
Alexander Mikaberidze,,Tbilisi State University
Alexander Mirtchev,,Sofia University
"Alexander Moncrieff, Lord Moncrieff",,University of Edinburgh
Alexander Monro ,,University of Edinburgh
Alexander Morris,,McGill University
Alexander Nabutovsky,,Weizmann Institute of Science
Alexander Nesis,2.4E9,Saint Petersburg State Institute of Technology
Alexander Nikolaevich Gorban,,Omsk State Pedagogical University
Alexander Novak,,Moscow State University
Alexander Nuno Alvaro,,University of Mannheim
Alexander O. Smith,,Master of Arts
Alexander Obukhov,,Saratov State University
Alexander Ogomudia,,Nigerian Defence Academy
Alexander Ogston,,University of Aberdeen
Alexander Oparin,,Moscow State University
Alexander Oppenheim,,University of Chicago
Alexander Patashinski,,Moscow Institute of Physics and Technology
Alexander Payne,,University of California Los Angeles
"Alexander Pearson, Jr.",,Engineering education
Alexander Pechtold,,Master of Arts
Alexander Peli,,Hebrew University of Jerusalem
"Alexander Philip, Lord Philip",,University of St Andrews
Alexander Pines,,Massachusetts Institute of Technology
Alexander Pirnie,,Cornell University
Alexander Pochinok,,Russian Academy of Sciences
Alexander Pol,,University of Tartu
Alexander Polezhayev,,Moscow State University
Alexander Pushkin,,Tsarskoye Selo Lyceum
Alexander Putilov,1.1E9,Bachelor of Arts
Alexander Putilov,1.1E9,Tyumen_Industrial_Institute
Alexander R. Hamilton,,University of Cambridge
Alexander R. Hobbs,,Virginia Tech
Alexander R. Todd,,Goethe University of Frankfurt
Alexander Raikhel,,Russian Academy of Sciences
Alexander Ramsay of Mar,,Eton College
Alexander Ramsey,,Lafayette College
Alexander Rankine,,University College London
Alexander Ratiu,,Roman Colleges
Alexander Razborov,,Moscow State University
Alexander Refsum Jensenius,,University of Oslo
Alexander Repenning,,University of Colorado Boulder
Alexander Rich,,Harvard University
Alexander Rose ,,University of Cambridge
Alexander Rosenbaum,,First Pavlov State Medical University of St. Petersburg
Alexander Ross ,,King's College Aberdeen
Alexander Rovt,1.2E9,Lviv Academy of Commerce
Alexander S. Johnson,,Yale College
Alexander S. Wiener,,Cornell University
Alexander Senkevich,,Doktor nauk
Alexander Senkevich,,Institute of Oriental Languages
Alexander Shulgin,,Harvard University
Alexander Siemens,,Humboldt University of Berlin
Alexander Skutch,,Johns Hopkins University
Alexander Smits,,University of Melbourne
Alexander Soifer,,Moscow State Pedagogical University
Alexander Soloviev ,,University of Warsaw
Alexander Soros,,New York University
Alexander Sotirov,,University of Alabama
Alexander Spanos,1.69E9,University of the Pacific (United States)
Alexander Stephan,,University of Michigan
Alexander Stewart Herschel,,Trinity College Cambridge
Alexander Stockton Cussons,,Switzerland
Alexander Stubb,,Paris-Sorbonne University
Alexander Sturgis,,Courtauld Institute of Art
Alexander Thomas Cameron,,University of Edinburgh
Alexander Tom Cussons,,England
Alexander Trachtenberg,,Yale University
